x,y,z,xc,yc
3.986562,5.109487,4.466315,0.672684,0.256581
2.169681,-5.440433,4.455874,0.600409,0.749005
1.395634,5.011963,5.316032,0.558266,0.261672
1.6195,6.599217,4.921106,0.570304,0.187871
1.891399,8.236377,4.274997,0.588166,0.109044
4.195832,2.235205,3.375099,0.711045,0.398952
5.733342,1.411738,2.431726,0.78107,0.435405
1.859887,2.355757,3.843181,0.587247,0.398932
4.988612,3.074654,3.083858,0.74287,0.355446
1.303263,1.416453,4.831091,0.572156,0.437652
1.305757,-0.672779,6.415959,0.551868,0.53657
6.46517,0.937119,1.689873,0.821442,0.457556
5.258659,0.945811,2.974312,0.752702,0.457182
4.432338,0.722096,3.522615,0.713757,0.467627
3.300681,0.861641,3.872784,0.667113,0.460673
2.430178,1.131492,4.039035,0.631101,0.447154
1.820731,1.467954,4.224124,0.600862,0.432473
0.563221,2.307693,5.566789,0.523481,0.405627
6.338145,-0.529279,1.881175,0.810748,0.523926
5.587698,3.208071,2.687839,0.771046,0.348959
0.242624,-1.462857,7.071491,0.509127,0.562718
1.611251,0.339326,4.895421,0.595293,0.485024
7.743095,2.364999,-2.005167,0.980531,0.401564
1.391142,1.851048,4.448999,0.5735,0.42
1.785794,-0.978284,4.85047,0.602995,0.548688
4.670959,2.664461,3.084075,0.73353,0.376977
1.33397,-0.283761,6.097047,0.560611,0.519017
7.270895,-2.890917,-2.252455,0.967686,0.644357
1.856432,2.585245,3.757904,0.580985,0.38716
0.923388,0.073076,6.671944,0.537728,0.505385
5.000589,-6.135128,1.892523,0.760966,0.779753
5.085276,-7.17859,0.714711,0.801779,0.831938
7.159291,-0.81182,-0.072044,0.892441,0.540761
5.843051,-5.248023,0.924091,0.816351,0.74026
6.847258,3.662916,0.724695,0.865595,0.333687
2.412942,-8.258853,4.119213,0.614074,0.883246
0.179909,-1.689864,6.573301,0.508953,0.579438
2.103655,-0.163946,4.566119,0.617942,0.508316
6.407571,2.236021,1.560843,0.825608,0.397675
3.670075,2.360153,3.63523,0.681215,0.396235
3.177186,2.294265,3.775704,0.656636,0.400597
2.196121,-4.598322,4.479786,0.6039,0.710217
6.234883,-1.94443,1.663542,0.812086,0.588539
1.292924,-9.29592,4.094063,0.568013,0.944565
3.210651,-8.533278,2.802001,0.681008,0.898285
4.068926,-7.993109,1.925119,0.733752,0.869701
2.724032,2.315802,3.777151,0.63383,0.398822
2.28846,2.398891,3.697603,0.606793,0.395537
1.998311,2.496547,3.689148,0.58966,0.391062
6.13004,3.399261,2.038516,0.805016,0.342108
2.28846,2.886504,3.775031,0.611335,0.362284
2.724032,2.96181,3.871767,0.634038,0.355971
3.177186,2.964136,3.876973,0.656636,0.355357
3.670075,2.927714,3.724325,0.681215,0.35834
